교육청명,교육지원청명,유치원코드,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,공시차수
서울특별시교육청,성동광진교육지원청,1ecec08c-f7d7-b044-e053-0a32095ab044,슬기유치원,사립(사인),이명희,김영신,19850301,19850301,서울특별시 광진구 자양로 296,02-446-0581,http://슬기유치원.com/,07시00분~20시00분,1,1,1,0,,11,28,22,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08c-f7d8-b044-e053-0a32095ab044,윤진유치원,사립(사인),김도선,박수진,19820623,19820623,서울특별시 광진구 아차산로21길 15,02-464-8174,,09시00분~20시00분,,,,1,,,,,17,,20182
서울특별시교육청,성동광진교육지원청,1ecec08c-f7d9-b044-e053-0a32095ab044,자양하나유치원,사립(사인),최완형,고영주,19930303,19930303,서울특별시 광진구 아차산로41길 22-5,02-456-1799,http://www.hanayoochiwon.com,07시00분~20시00분,1,1,1,0,,9,13,20,0,,20232
서울특별시교육청,성동광진교육지원청,1ecec08c-f9b0-b044-e053-0a32095ab044,보성유치원,사립(사인),김문자,박도영,19970409,19970409,서울특별시 광진구 아차산로 552,02-453-9712,http://www.bosungkid.co.kr,08시00분~18시30분,2,1,1,0,,26,26,28,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08c-fc13-b044-e053-0a32095ab044,성수아름유치원,사립(사인),조희정,조희정,19880420,19880420,서울특별시 광진구 뚝섬로 476-15,02-464-8397,http://sungsuhappy.kidsnote.ac/,09시00분~19시00분,,,,1,,,,,20,,20192
서울특별시교육청,성동광진교육지원청,1ecec08c-fc15-b044-e053-0a32095ab044,정신유치원,사립(사인),정창효,양경전,19840416,19840416,서울특별시 광진구 뚝섬로23길 27,02-466-7773,https://uriidle.kidis.co.kr,07시00분~20시00분,1,1,1,0,,5,13,20,0,,20222
서울특별시교육청,성동광진교육지원청,1ecec08c-fd95-b044-e053-0a32095ab044,대원유치원,사립(사인),백나혜,백나혜,20140211,20140211,서울특별시 광진구 뚝섬로41길 20,02-458-0820,http://daewon.kidis.co.kr/,09시00분~17시00분,1,1,1,0,,9,16,14,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08c-fe01-b044-e053-0a32095ab044,광장유치원,사립(법인),서울노회유지재단 광장교회,홍성란,19830901,19830901,서울특별시 광진구 광장로7길 17,02-455-5016,http://lovelykjkk.kidsnote.ac,09시30분~18시00분,1,1,1,0,,7,10,18,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08c-fe02-b044-e053-0a32095ab044,서울양남초등학교병설유치원,공립(병설),유태호,유태호,19980106,19980313,서울특별시 광진구 뚝섬로64길 71,02-458-9361,http://www.s-yangnam.es.kr,07시00분~20시00분,1,1,1,0,1,9,10,12,0,4,20242
서울특별시교육청,성동광진교육지원청,1ecec08c-ffe3-b044-e053-0a32095ab044,현정유치원,사립(사인),김호송,김현정,19751219,19751219,서울특별시 광진구 광나루로 534-1,02-446-9209,http://www.hyunjungkids.co.kr,09시30분~19시00분,1,1,2,0,,9,8,34,0,,20202
서울특별시교육청,성동광진교육지원청,1ecec08d-0076-b044-e053-0a32095ab044,선미유치원,사립(사인),백금선,백금선,20030223,20030223,서울특별시 광진구 면목로5길 54,02-467-1148,,09시00분~18시00분,1,1,1,0,,9,12,8,0,,20192
서울특별시교육청,성동광진교육지원청,1ecec08d-0077-b044-e053-0a32095ab044,선화유치원,사립(법인),학교법인 선학학원,강은숙,19980307,19980307,서울특별시 광진구 천호대로130길 58,02-2204-1050~2,http://www.sunhwakids.co.kr,08시00분~18시30분,1,2,2,0,,21,40,38,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08d-0078-b044-e053-0a32095ab044,청구이화유치원,사립(사인),이미애,이미애,19960326,19960326,서울특별시 광진구 아차산로 503-23,02-458-5981,http://ewkids.kidis.co.kr/,09시00분~19시00분,2,2,1,0,,34,44,29,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08d-0248-b044-e053-0a32095ab044,동심유치원,사립(사인),권명희,권명희,19970120,19970120,서울특별시 광진구 군자로12길 46,02-499-6101,http://dongsim.kidis.co.kr,09시00분~18시00분,,,1,1,,,,5,4,,20242
서울특별시교육청,성동광진교육지원청,1ecec08d-02a6-b044-e053-0a32095ab044,아이조아유치원,사립(사인),민태혁,민태혁,20021115,20021115,서울특별시 광진구 긴고랑로7길 65,02-498-9903,http://www.i-joais.co.kr,09시00분~20시00분,1,1,1,0,,5,4,14,0,,20222
서울특별시교육청,성동광진교육지원청,1ecec08d-0341-b044-e053-0a32095ab044,경원유치원,사립(사인),송미정,송미정,19821227,20020301,서울특별시 광진구 영화사로 89,02-446-9777,,09시10분~18시30분,1,1,1,0,,9,10,15,0,,20222
서울특별시교육청,성동광진교육지원청,1ecec08d-04b5-b044-e053-0a32095ab044,인애유치원,사립(법인),최영숙,최영숙,19780314,19780314,서울특별시 광진구 능동로4길 13,02-457-6109,http://www.inaepreschool.org/,09시00분~18시00분,,,,2,,,,,70,,20242
서울특별시교육청,성동광진교육지원청,1ecec08d-066f-b044-e053-0a32095ab044,서울신자초등학교병설유치원,공립(병설),안혜경,안혜경,19970301,19970317,서울특별시 광진구 뚝섬로46길 64,02-450-5690,http://www.sinja.sen.es.kr,07시30분~20시00분,1,1,1,0,,9,15,16,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08d-0754-b044-e053-0a32095ab044,경하유치원,사립(사인),이명희,이명희,19830302,19830302,서울특별시 광진구 동일로72길 9,02-466-2880,,09시00분~20시00분,,,,1,,,,,25,,20182
서울특별시교육청,성동광진교육지원청,1ecec08d-0840-b044-e053-0a32095ab044,한일유치원,사립(사인),장봉석,장봉석,19900901,19900901,서울특별시 광진구 뚝섬로35길 16-20,02-454-0002,http://hanil90.co.kr,09시00분~17시30분,1,1,1,0,,24,28,28,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08d-0adc-b044-e053-0a32095ab044,미파유치원,사립(사인),윤기옥,윤기옥,19821210,19821210,서울특별시 광진구 용마산로 185,02-434-3625,,09시00분~20시00분,,,,2,,,,,57,,20192
서울특별시교육청,성동광진교육지원청,1ecec08d-0add-b044-e053-0a32095ab044,서울구의초등학교병설유치원,공립(병설),최은자,최은자,19970302,19970302,서울특별시 광진구 광나루로30길 49,02-453-2123,https://guui.sen.es.kr/,07시30분~19시30분,1,1,1,0,1,16,17,19,0,4,20242
서울특별시교육청,성동광진교육지원청,1ecec08d-0ba1-b044-e053-0a32095ab044,서울양진초등학교병설유치원,공립(병설),김재석,김재석,20050301,20050301,서울특별시 광진구 워커힐로 32,02-454-9138,https://yjs.sen.es.kr/,07시10분~19시10분,1,1,1,0,,15,17,23,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08d-0e4a-b044-e053-0a32095ab044,선양유치원,사립(사인),서미연,서미연,19860226,19860226,서울특별시 광진구 동일로 256-1,02-466-6193,,08시00분~20시00분,2,3,2,0,,37,51,50,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08d-0f37-b044-e053-0a32095ab044,샬롬유치원,사립(법인),박인경,박인경,19910228,19910228,서울특별시 광진구 아차산로65길 65,02-456-7770,http://www.shalomkids.co.kr,09시00분~19시00분,1,1,1,0,,3,10,21,0,,20222
서울특별시교육청,성동광진교육지원청,74e1e803-e7d0-4cb0-a8d9-087fb5e7f80f,서울중광초등학교병설유치원,공립(병설),배숙희,배숙희,20161229,20170301,서울특별시 광진구 긴고랑로13길 59,02-466-9691,http://www.jkschool.net,07시30분~19시30분,1,1,1,0,1,10,17,16,0,4,20242
서울특별시교육청,성동광진교육지원청,ccb6c0b0-a68a-4b86-8fe2-58f35a3c1952,서울용곡초등학교병설유치원,공립(병설),김병애,김병애,20210301,20210301,서울특별시 광진구 용마산로22길 82,02-6956-7233,http://yonggok.sen.es.kr,07시30분~19시30분,1,1,1,0,,8,14,10,0,,20242
서울특별시교육청,성동광진교육지원청,db6bc219-29b5-48d3-af79-797756d3a7a6,서울신양초등학교병설유치원,공립(병설),박효선,박효선,20210301,20210301,서울특별시 광진구 능동로 42,02-447-2582,http://sinyang.sen.es.kr/,07시00분~20시00분,1,1,1,0,,5,14,13,0,,20242
