,Unnamed: 0,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
1393,1393,3040000,3040000-101-1988-04930,1988-03-08,,1,영업/정상,1,영업,,,,,02 4524015,24.8,143-926,서울특별시 광진구 화양동 495-23 ,서울특별시 광진구 능동로16길 57 (화양동),5021.0,커피브라더 건대점,2021-09-03 11:14:01,U,2021-09-05 02:40:00.0,호프/통닭,206659.826941483,449240.317610304,호프/통닭,0.0,1.0,주택가주변,지도,상수도전용,,,,,,,,,N,24.8,,,
1437,1437,3040000,3040000-101-1988-05580,1988-10-12,,1,영업/정상,1,영업,,,,,02 4996948,26.73,143-904,서울특별시 광진구 중곡동 245-4 ,서울특별시 광진구 면목로 99 (중곡동),4913.0,들꽃,2024-07-24 11:17:28,U,2024-07-26 02:40:00.0,호프/통닭,206933.55114995,451144.001718632,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,26.73,,,
1528,1528,3040000,3040000-101-1989-02769,1989-08-19,,1,영업/정상,1,영업,,,,,02 4631543,85.92,143-915,서울특별시 광진구 화양동 217 ,서울특별시 광진구 능동로19길 10 (화양동),5009.0,흥부가기가막혀,2024-01-18 10:30:22,U,2024-01-20 02:40:00.0,호프/통닭,206400.963779035,449431.597026294,호프/통닭,1.0,1.0,기타,을,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Y,85.92,,,
1591,1591,3040000,3040000-101-1989-03574,1989-08-07,,1,영업/정상,1,영업,,,,,02 4555663,114.42,143-826,서울특별시 광진구 구의동 252-36 ,서울특별시 광진구 자양로18길 11 (구의동),5043.0,작심가,2024-01-22 09:54:48,U,2024-01-24 02:40:00.0,호프/통닭,207368.258796328,448385.240096135,호프/통닭,0.0,0.0,주택가주변,을,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Y,114.42,,,
1621,1621,3040000,3040000-101-1989-04484,1989-03-15,,1,영업/정상,1,영업,,,,,02 4470139,17.4,143-864,서울특별시 광진구 자양동 583-10번지 ,서울특별시 광진구 자양번영로 23-1 (자양동),5092.0,노가리앤비어,2019-09-03 15:32:58,U,2019-09-05 02:40:00.0,호프/통닭,206564.627291535,447735.298665045,호프/통닭,0.0,0.0,기타,기타,상수도전용,,,,,,,,,N,17.4,,,
1649,1649,3040000,3040000-101-1989-04989,1989-06-15,,1,영업/정상,1,영업,,,,,02 4664970,,143-838,서울특별시 광진구 군자동 184번지 ,서울특별시 광진구 동일로 278 (군자동),5000.0,투다리,2009-11-04 10:35:29,I,2018-08-31 23:59:59.0,호프/통닭,206309.59075872,450430.884671398,호프/통닭,0.0,,기타,을,상수도전용,,,,,,,,,N,24.48,,,
1766,1766,3040000,3040000-101-1990-00889,1990-05-08,,1,영업/정상,1,영업,,,,,02 4678769,65.93,143-838,서울특별시 광진구 군자동 473-15 ,서울특별시 광진구 능동로35길 18 (군자동),4996.0,뉴리안숯불닭바베큐,2022-08-30 09:12:33,U,2022-09-01 02:40:00.0,호프/통닭,206826.563798053,450528.573334357,호프/통닭,0.0,,주택가주변,기타,상수도전용,,,,,,,,,N,65.93,,,
1918,1918,3040000,3040000-101-1990-03839,1990-11-05,,1,영업/정상,1,영업,,,,,02 4446175,69.56,143-808,서울특별시 광진구 광장동 322-3 ,서울특별시 광진구 아차산로76길 32 (광장동),4969.0,트레비,2023-04-18 16:00:57,U,2023-04-20 02:40:00.0,호프/통닭,209433.056005011,449426.892183047,호프/통닭,0.0,,주택가주변,을,상수도전용,,,,,,,,,N,69.56,,,
1927,1927,3040000,3040000-101-1990-04148,1990-06-04,,1,영업/정상,1,영업,,,,,02 4689658,26.12,143-902,서울특별시 광진구 중곡동 199-27번지 ,서울특별시 광진구 면목로 184 (중곡동),4903.0,페리카나,2020-02-13 14:04:48,U,2020-02-15 02:40:00.0,호프/통닭,207284.345340084,451929.524963943,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,26.12,,,
1947,1947,3040000,3040000-101-1990-04427,1990-06-29,,1,영업/정상,1,영업,,,,,02 4467831,24.6,143-888,서울특별시 광진구 중곡동 79-10 ,서울특별시 광진구 용마산로6길 9 (중곡동),4949.0,처갓집양념치킨 중곡점,2022-11-30 15:47:21,U,2022-12-02 02:40:00.0,호프/통닭,207762.016534832,450576.213268587,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,24.6,,,
1976,1976,3040000,3040000-101-1990-04860,1990-01-17,,1,영업/정상,1,영업,,,,,02 4622472,,143-900,서울특별시 광진구 중곡동 171-30번지 ,서울특별시 광진구 능동로53길 42 (중곡동),4904.0,맥주하우스,2012-09-11 09:20:01,I,2018-08-31 23:59:59.0,호프/통닭,207202.539983327,451651.59408198,호프/통닭,0.0,1.0,주택가주변,을,상수도전용,,,,,,,,,N,25.0,,,
1984,1984,3040000,3040000-101-1990-04979,1990-06-28,,1,영업/정상,1,영업,,,,,02 4469424,27.39,143-847,서울특별시 광진구 능동 222-5 ,서울특별시 광진구 천호대로112길 10 (능동),4985.0,수내닭꼬치 광진군자점,2023-12-04 14:17:41,U,2023-12-06 02:40:00.0,호프/통닭,207115.883872918,450394.186941515,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,27.39,,,
2118,2118,3040000,3040000-101-1991-01825,1991-07-23,,1,영업/정상,1,영업,,,,,02 4585597,,143-831,서울특별시 광진구 구의동 594-3번지 ,서울특별시 광진구 구의강변로 48 (구의동),5116.0,디오니스(강변점),2009-12-30 10:50:03,I,2018-08-31 23:59:59.0,호프/통닭,208071.136013024,448101.266571704,호프/통닭,0.0,0.0,주택가주변,을,상수도전용,,,,,,,,,N,50.48,,,
2229,2229,3040000,3040000-101-1991-04345,1991-12-09,,1,영업/정상,1,영업,,,,,02 4540445,22.04,143-868,서울특별시 광진구 자양동 637 1층 일부 ,"서울특별시 광진구 뚝섬로52길 13, 1층 일부호 (자양동)",5100.0,마초떡볶이앤펍(PUB),2022-11-28 17:29:37,U,2022-11-30 02:40:00.0,호프/통닭,206953.081816657,447676.267046039,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,22.04,,,
2290,2290,3040000,3040000-101-1991-05208,1991-11-09,,1,영업/정상,1,영업,,,,,02 4581134,,143-873,서울특별시 광진구 자양동 679-35번지 ,서울특별시 광진구 자양로5길 18 (자양동),5103.0,투다리,2010-06-08 13:40:38,I,2018-08-31 23:59:59.0,호프/통닭,207420.084963506,447707.124944459,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,18.81,,,
2299,2299,3040000,3040000-101-1991-05355,1991-06-15,,1,영업/정상,1,영업,,,,,02 4562216,134.56,143-885,서울특별시 광진구 중곡동 35-1번지 ,서울특별시 광진구 능동로48가길 36 (중곡동),4935.0,엠비에프(MBF),2019-07-02 16:54:40,U,2019-07-04 02:40:00.0,호프/통닭,207527.074457909,451226.964646793,호프/통닭,1.0,1.0,주택가주변,기타,상수도전용,,,,,,,,,Y,134.56,,,
2367,2367,3040000,3040000-101-1992-00438,1992-06-19,,1,영업/정상,1,영업,,,,,02444 4522,,143-190,"서울특별시 광진구 자양동 606-44번지 ,45 ",서울특별시 광진구 자양번영로6길 67 (자양동),5099.0,옹녀,2015-11-20 15:12:42,I,2018-08-31 23:59:59.0,호프/통닭,206931.309969349,447708.335693976,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,74.0,,,
2562,2562,3040000,3040000-101-1992-03518,1992-01-31,,1,영업/정상,1,영업,,,,,02 4619861,84.63,143-914,서울특별시 광진구 화양동 7-42 ,"서울특별시 광진구 동일로22길 100, 2층 (화양동)",5018.0,생마차,2023-11-01 11:47:05,U,2023-11-03 02:40:00.0,호프/통닭,206071.426952559,448734.249359413,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,84.63,,,
2625,2625,3040000,3040000-101-1992-04266,1992-08-29,,1,영업/정상,1,영업,,,,,02 4665122,43.18,143-914,서울특별시 광진구 화양동 7-33 ,서울특별시 광진구 동일로22길 88 (화양동),5018.0,이자카나,2024-04-19 15:49:42,U,2024-04-21 02:40:00.0,호프/통닭,206023.886271891,448758.756949876,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,43.18,,,
2634,2634,3040000,3040000-101-1992-04357,1992-03-13,,1,영업/정상,1,영업,,,,,02 4522987,21.64,143-190,서울특별시 광진구 자양동 808 1층 ,"서울특별시 광진구 아차산로40길 48, 1층 (자양동)",5064.0,맥스카나,2023-02-15 14:37:04,U,2023-02-17 02:40:00.0,호프/통닭,206803.524394315,448150.338858706,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,21.64,,,
2688,2688,3040000,3040000-101-1992-05406,1992-11-10,,1,영업/정상,1,영업,,,,,02 4615066,59.58,143-914,서울특별시 광진구 화양동 9-86 ,서울특별시 광진구 동일로22길 89 (화양동),5018.0,노크건대직영점,2024-08-27 10:09:59,U,2024-08-29 02:40:00.0,호프/통닭,206040.68026483,448773.14043594,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,59.58,,,
2795,2795,3040000,3040000-101-1993-00444,1993-12-29,,1,영업/정상,1,영업,,,,,02 4468415,21.7,143-865,서울특별시 광진구 자양동 606-9 ,서울특별시 광진구 뚝섬로 630 (자양동),5099.0,바로마주,2022-01-07 10:24:54,U,2022-01-09 02:40:00.0,호프/통닭,206947.646752977,447745.557839831,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,21.7,,,
2831,2831,3040000,3040000-101-1993-00819,1993-09-15,,1,영업/정상,1,영업,,,,,02 4463530,78.61,143-826,서울특별시 광진구 구의동 252-2 ,서울특별시 광진구 아차산로51길 51 (구의동),5043.0,한술상,2024-07-03 13:12:46,U,2024-07-05 02:40:00.0,호프/통닭,207422.460730881,448568.451917109,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,78.61,,,
2852,2852,3040000,3040000-101-1993-01056,1993-03-30,,1,영업/정상,1,영업,,,,,02 4611744,25.7,143-846,서울특별시 광진구 자양동 239-1 ,서울특별시 광진구 뚝섬로 472 (자양동),5082.0,전주생막걸리,2022-04-19 10:56:46,U,2022-04-21 02:40:00.0,호프/통닭,205482.17562441,448264.5997855,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,25.7,,,
2923,2923,3040000,3040000-101-1993-02468,1993-09-28,,1,영업/정상,1,영업,,,,,0222017898,107.0,143-828,서울특별시 광진구 구의동 257-123 (2층) ,"서울특별시 광진구 자양로18길 49 (구의동,(2층))",5042.0,김복남맥주구의점,2024-02-05 16:09:14,U,2024-02-07 02:40:00.0,호프/통닭,207548.732321284,448438.582025887,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Y,107.0,,,
2962,2962,3040000,3040000-101-1993-02779,1993-07-21,,1,영업/정상,1,영업,,,,,02 4998138,82.68,143-914,서울특별시 광진구 화양동 5-72 ,서울특별시 광진구 아차산로33길 14 (화양동),5017.0,바스타,2022-05-03 17:01:54,U,2022-05-05 02:40:00.0,호프/통닭,206138.03183612,448743.508305041,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,82.68,,,
2969,2969,3040000,3040000-101-1993-02811,1993-07-03,,1,영업/정상,1,영업,,,,,0222541242,55.49,143-914,서울특별시 광진구 화양동 7-33 ,"서울특별시 광진구 동일로22길 88, 지하1층 (화양동)",5018.0,월드스토리,2024-02-27 15:48:21,U,2024-02-29 02:40:00.0,호프/통닭,206023.886271891,448758.756949876,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,55.49,,,
2986,2986,3040000,3040000-101-1993-03063,1993-03-29,,1,영업/정상,1,영업,,,,,02 4992104,44.77,143-914,서울특별시 광진구 화양동 7-29 ,"서울특별시 광진구 동일로22길 86, 2층 (화양동)",5018.0,마실리아,2021-02-19 15:39:09,U,2021-02-21 02:40:00.0,호프/통닭,206010.072587273,448764.595731906,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,44.77,,,
3047,3047,3040000,3040000-101-1993-03894,1993-04-22,,1,영업/정상,1,영업,,,,,02 4992104,54.22,143-914,서울특별시 광진구 화양동 7-29 지하1층 ,"서울특별시 광진구 동일로22길 86, 지하1층 (화양동)",5018.0,마실리아,2021-02-19 10:07:19,U,2021-02-21 02:40:00.0,호프/통닭,206010.072587273,448764.595731906,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,54.22,,,
3050,3050,3040000,3040000-101-1993-03945,1993-05-10,,1,영업/정상,1,영업,,,,,02 4652232,32.33,143-843,서울특별시 광진구 자양동 44-21 ,서울특별시 광진구 뚝섬로 487 (자양동),5080.0,옥이네호프포차,2021-06-30 11:49:39,U,2021-07-02 02:40:00.0,호프/통닭,205643.07989731,448243.951685032,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,32.33,,,
3074,3074,3040000,3040000-101-1993-04123,1993-05-27,,1,영업/정상,1,영업,,,,,02 4555111,35.1,143-803,서울특별시 광진구 광장동 186 1층102호 ,"서울특별시 광진구 아차산로78길 165, 1층 102호 (광장동)",4969.0,페리카나치킨,2022-11-30 15:47:47,U,2022-12-02 02:40:00.0,호프/통닭,209559.478407599,449524.341548657,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,35.1,,,
3078,3078,3040000,3040000-101-1993-04137,1993-12-18,,1,영업/정상,1,영업,,,,,02 4647588,,143-903,서울특별시 광진구 중곡동 241-31번지 ,서울특별시 광진구 긴고랑로13길 7 (중곡동),4909.0,자매식당,2013-12-09 09:29:39,I,2018-08-31 23:59:59.0,호프/통닭,207153.243514138,451189.528652914,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,24.48,,,
3095,3095,3040000,3040000-101-1993-04226,1993-08-17,,1,영업/정상,1,영업,,,,,02 4681459,,143-838,서울특별시 광진구 군자동 474-50번지 ,서울특별시 광진구 능동로35길 21-1 (군자동),4996.0,봉구비어,2014-09-15 15:41:05,I,2018-08-31 23:59:59.0,호프/통닭,206802.931639219,450514.678594174,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,23.94,,,
3141,3141,3040000,3040000-101-1993-04847,1993-04-30,,1,영업/정상,1,영업,,,,,02 4637946,36.09,143-900,서울특별시 광진구 중곡동 173-7 ,서울특별시 광진구 면목로11길 10 (중곡동),4906.0,이서방치킨,2022-11-30 15:47:58,U,2022-12-02 02:40:00.0,호프/통닭,207096.99419824,451624.20026307,호프/통닭,0.0,1.0,주택가주변,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,36.09,,,
3193,3193,3040000,3040000-101-1993-05567,1993-08-30,,1,영업/정상,1,영업,,,,,0222015556,,143-831,서울특별시 광진구 구의동 594-1번지 ,서울특별시 광진구 구의강변로 52-1 (구의동),5116.0,인,2015-02-04 14:10:47,I,2018-08-31 23:59:59.0,호프/통닭,208092.293878272,448122.780079434,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,99.16,,,
3264,3264,3040000,3040000-101-1994-00345,1994-03-15,,1,영업/정상,1,영업,,,,,02 4686322,149.3,143-914,서울특별시 광진구 화양동 9-23번지 ,서울특별시 광진구 아차산로31길 3 (화양동),5018.0,랑데자뷰건대,2020-02-11 10:04:54,U,2020-02-13 02:40:00.0,호프/통닭,206046.255470479,448786.221372885,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,Y,149.3,,,
3281,3281,3040000,3040000-101-1994-00474,1994-10-05,,1,영업/정상,1,영업,,,,,02 4557708,110.0,143-807,서울특별시 광진구 광장동 320-15 ,서울특별시 광진구 아차산로76길 25 (광장동),4969.0,깐부치킨광장점,2022-11-30 15:48:09,U,2022-12-02 02:40:00.0,호프/통닭,209474.048905453,449437.052481246,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,110.0,,,
3383,3383,3040000,3040000-101-1994-01208,1994-02-24,,1,영업/정상,1,영업,,,,,02 4559229,108.0,143-847,서울특별시 광진구 능동 220-11 ,서울특별시 광진구 능동로36길 9 (능동),4985.0,방이옥 군자역점,2024-07-11 09:41:31,U,2024-07-13 02:40:00.0,호프/통닭,206981.791418785,450452.83490606,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,108.0,,,
3420,3420,3040000,3040000-101-1994-01609,1994-09-29,,1,영업/정상,1,영업,,,,,02 4986878,,143-862,서울특별시 광진구 자양동 553-303번지 ,서울특별시 광진구 뚝섬로23길 48 (자양동),5076.0,청도호프,2011-12-06 16:06:47,I,2018-08-31 23:59:59.0,호프/통닭,205769.47935921,448329.974790795,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,19.8,,,
3471,3471,3040000,3040000-101-1994-02747,1994-05-07,,1,영업/정상,1,영업,,,,,02 4441229,26.45,143-828,서울특별시 광진구 구의동 257-39 1층 ,"서울특별시 광진구 아차산로53길 51-6, 1층 (구의동)",5043.0,초원호프,2021-05-24 16:35:20,U,2021-05-26 02:40:00.0,호프/통닭,207472.093377606,448592.902090342,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,26.45,,,
3842,3842,3040000,3040000-101-1995-00098,1995-04-07,,1,영업/정상,1,영업,,,,,02 4639656,,143-838,서울특별시 광진구 군자동 471-3번지 ,서울특별시 광진구 면목로 36 (군자동),4996.0,펀비어킹,2015-10-05 09:51:08,I,2018-08-31 23:59:59.0,호프/통닭,206704.531258263,450551.527078331,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,71.16,,,
3947,3947,3040000,3040000-101-1995-01376,1995-08-16,,1,영업/정상,1,영업,,,,,02 4558892,64.73,143-828,서울특별시 광진구 구의동 257-97 ,서울특별시 광진구 아차산로51길 50 (구의동),5043.0,참존숯불바베큐치킨,2022-11-30 15:48:23,U,2022-12-02 02:40:00.0,호프/통닭,207448.630215348,448555.400178222,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,64.73,,,
3999,3999,3040000,3040000-101-1995-01493,1995-11-09,,1,영업/정상,1,영업,,,,,02 4695931,,143-917,서울특별시 광진구 화양동 46-48번지 ,서울특별시 광진구 동일로22길 55 (화양동),5019.0,낙원스낵,2017-01-11 10:44:40,I,2018-08-31 23:59:59.0,호프/통닭,205881.350232042,448841.191669995,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,48.46,,,
