구분,단지명,아파트소재지,동수,세대수,층수,관리사무소연락처,관리사무소팩스,데이터기준일자
아파트,광장현대3단지,서울특별시 광진구 아차산로70길 62(광장동484),10,1056,11,02-454-1288,02-452-0532,2021-02-08
아파트,광장현대8단지,서울특별시 광진구 아차산로 522(광장동565),3,537,23,02-456-5863,02-447-3587,2021-02-08
아파트,광나루현대,서울특별시 광진구 아차산로76길 31(광장동567),3,380,11,02-2201-1263,02-3437-3519,2021-02-08
아파트,청구,서울특별시 광진구 아차산로 503-23(광장동566),4,654,21,02-3436-5900,02-444-3844,2021-02-08
아파트,상록타워,서울특별시 광진구 아차산로 540(광장동570),1,200,25,02-446-0128,02-446-0238,2021-02-08
아파트,광장동현대9차,서울특별시 광진구 아차산로69길 19(광장동576),5,437,25,02-444-9551,02-6212-9552,2021-02-08
아파트,광장현대파크빌,서울특별시 광진구 아차산로 549(광장동577),13,1170,4,02-458-7480,02-6406-0001,2021-02-08
아파트,광장동금호,서울특별시 광진구 광나루로 579(광장동578),4,242,20,02-3437-9348,02-3437-9349,2021-02-08
아파트,광장현대12차,서울특별시 광진구 천호대로 808(광장동 580),2,119,21,02-444-1336,02-444-1357,2021-02-08
아파트,신동아파밀리에,서울특별시 광진구 아차산로 599(광장동 250),8,302,12,02-452-2181,02-452-2182,2021-02-08
아파트,광장자이,서울특별시 광진구 광나루로 595(광장동 581),2,122,23,02-457-7051,02-457-7052,2021-02-08
아파트,광장힐스테이트,서울특별시 광진구 아차산로 537-17(광장동 582),5,453,4,02-455-0407,02-455-7166,2021-02-08
아파트,자양아파트,서울특별시 광진구 자양로 55(자양1동658-14),5,115,5,02-456-0747,02-457-0747,2021-02-08
아파트,자양힐,서울특별시 광진구 자양로21길 16-14(자양1동810),1,64,9,070-8958-2836,02-456-2836,2021-02-08
아파트,광진하나플러스,서울특별시 광진구 뚝섬로46길 74(자양2동811),1,43,13,02-3437-3970,,2021-02-08
아파트,자양동한양,서울특별시 광진구 구의강변로 11(자양2동695),6,444,12,02-447-0146,02-447-0147,2021-02-08
아파트,현대강변,서울특별시 광진구 자양로3가길 43(자양2동673),2,208,12,02-458-9755,02-458-9756,2021-02-08
아파트,자양현대,서울특별시 광진구 뚝섬로56길 72(자양2동645-5),2,182,13,02-444-6705,02-444-6740,2021-02-08
아파트,자양현대3차,서울특별시 광진구 뚝섬로56가길 13(자양2동670),2,439,8,02-453-3544,02-2201-1948,2021-02-08
아파트,경남아너스빌,서울특별시 광진구 자양로3길 55(자양2동666-28),1,150,19,02-3437-4442,02-3437-4442,2021-02-08
아파트,자양현대5차,서울특별시 광진구 뚝섬로54길 74(자양2동642),3,271,23,02-3437-7171,02-3437-7172,2021-02-08
아파트,자양경남,서울특별시 광진구 뚝섬로52길 71(자양2동641),2,232,9,02-454-9979,02-454-9989,2021-02-08
아파트,로얄동아,서울특별시 광진구 뚝섬로52마길 56(자양2동644),4,322,25,02-3437-3905,02-3437-8969,2021-02-08
아파트,한솔리베르,서울특별시 광진구 뚝섬로56가길 28(자양2동672),1,185,25,02-447-5657,02-6215-5657,2021-02-08
아파트,그린,서울특별시 광진구 뚝섬로56길 35(자양2동665),1,33,7,02-446-1045,,2021-02-08
아파트,광진하우스토리,서울특별시 광진구 구의강변로1길 44(자양2동 813),2,82,23,02-2201-5738,02-2201-5739,2021-02-08
아파트,자양우성1차,서울특별시 광진구 뚝섬로 569(자양3동579),6,656,15,02-447-8214,02-455-0368,2021-02-08
아파트,자양우성2차,서울특별시 광진구 뚝섬로 576(자양3동520-2),3,405,15,02-457-0305,02-457-0325,2021-02-08
아파트,자양우성4차,서울특별시 광진구 자양번영로 59(자양3동578),1,66,9,02-444-0056,02-444-0056,2021-02-08
아파트,자양우성3차,서울특별시 광진구 뚝섬로35길 32(자양3동516),7,464,11,02-446-8741,02-446-8741,2021-02-08
아파트,자양우성5차,서울특별시 광진구 뚝섬로 553(자양3동553-41),1,80,15,02-456-6887,02-456-6881,2021-02-08
아파트,자양우성6차,서울특별시 광진구 뚝섬로33길 42(자양3동515-1),1,96,14,02-456-1698,02-456-1698,2021-02-08
아파트,자양2차현대,서울특별시 광진구 뚝섬로34길 9(자양3동761),1,235,19,02-453-5310,02-456-2278,2021-02-08
아파트,한라,서울특별시 광진구 뚝섬로33길 20(자양3동762),2,329,9,02-444-1689,02-6235-1689,2021-02-08
아파트,자양7차우성,서울특별시 광진구 아차산로36길 39(자양3동783-1),5,625,22,02-457-8387,02-457-8388,2021-02-08
아파트,자양현대6차,서울특별시 광진구 자양번영로3길 66(자양3동786),1,178,9,02-458-0973,02-458-0973,2021-02-08
아파트,자양동삼성,서울특별시 광진구 자양번영로3길 65(자양3동787),4,375,4,02-452-4500,02-452-4533,2021-02-08
아파트,자양7차현대홈타운,서울특별시 광진구 능동로4길 41(자양3동788),4,252,18,02-3436-1331,02-3436-1351,2021-02-08
아파트,대원리버빌,서울특별시 광진구 자양번영로1길 57(자양3동587-6),1,40,10,02-456-8111,,2021-02-08
아파트,자양9차현대홈타운,서울특별시 광진구 뚝섬로34길 32(자양3동790),2,119,18,02-3436-4385,02-6214-4385,2021-02-08
아파트,자양8차현대홈타운,서울특별시 광진구 뚝섬로36길 19(자양3동789),5,257,19,02-3437-9297,02-3437-9298,2021-02-08
아파트,금강,서울특별시 광진구 아차산로36길 13(자양3동791),2,69,14,02-446-7676,02-446-7676,2021-02-08
아파트,태원강변,서울특별시 광진구 자양번영로1길 43(자양3동588),1,28,14,02-444-6370,,2021-02-08
아파트,자양10차현대홈타운,서울특별시 광진구 뚝섬로34길 25-19(자양3동792),6,245,17,02-3436-9328,02-3436-9336,2021-02-08
아파트,우방리버파크,서울특별시 광진구 능동로4길 78(자양3동 793),3,214,25,02-2201-1381,02-2201-1382,2021-02-08
아파트,자양강변아이파크,서울특별시 광진구 뚝섬로36길 75(자양3동 809),1,83,18,02-457-7500,02-457-7565,2021-02-08
아파트,이튼타워리버(5차),서울특별시 광진구 능동로4길 40(자양3동 856),4,279,23,02-497-3200,02-497-3201,2021-02-08
아파트,한강극동,서울특별시 광진구 능동로3길 53(자양4동57-103),2,158,11,02-469-8231,02-469-0339,2021-02-08
아파트,한강현대,서울특별시 광진구 능동로 19(자양4동829),2,204,22,02-469-7526,02-467-6629,2021-02-08
아파트,한강우성,서울특별시 광진구 능동로1길 15(자양4동87-1),2,355,10,02-467-6519,02-467-6517,2021-02-08
아파트,한강아남,서울특별시 광진구 능동로3다길 13(자양4동830),1,47,7,02-497-7850,02-497-7850,2021-02-08
아파트,한강성원,서울특별시 광진구 능동로3길 17(자양4동831-1),1,140,18,02-3409-3464,02-466-3464,2021-02-08
아파트,광진한화꿈에그린,서울특별시 광진구 뚝섬로24길 74(자양4동853),2,116,15,02-468-5053,02-468-5054,2021-02-08
아파트,자양대동,서울특별시 광진구 뚝섬로31길 20(자양4동784-1),4,314,8,02-461-5561,02-461-5560,2021-02-08
아파트,한영해시안,서울특별시 광진구 동일로18길10(자양4동 858),1,43,6,02-471-1138,,2021-02-08
아파트,화양동현대,서울특별시 광진구 동일로24길 5(화양동234),3,253,23,02-499-8121,02-499-8316,2021-02-08
아파트,서원힐탑,서울특별시 광진구 군자로 100-3(군자동100-109),2,56,8,02-498-8764,,2021-02-08
아파트,일성파크,서울특별시 광진구 군자로12길 46(군자동99),2,357,9,02-3409-0175,02-3409-0171,2021-02-08
아파트,삼성쉐르빌,서울특별시 광진구 구의강변로 106(구의3동 199-18),1,252,24,02-2201-4246,02-2201-4247,2021-02-08
아파트,구의아크로리버,서울특별시 광진구 구의강변로 64(구의3동 589-10),2,220,37,02-455-1695,02-455-1698,2021-02-08
아파트,강변sk뷰,서울특별시 광진구 아차산로 431(구의동667),2,197,29,02-457-0725,02-457-0726,2021-02-08
아파트,래미안프리미어팰리스,서울특별시 광진구 아차산로345(자양1동 778-6),2,265,29,02-456-5090,02-456-5092,2021-02-08
아파트,광진트라팰리스,서울특별시 광진구 뚝섬로34길 67(자양3동 854번지),2,204,29,02-464-3210,02-461-3210,2021-02-08
아파트,더샵스타시티,서울특별시 광진구 아차산로 262(자양3동 227-7),4,1177,58,02-2024-7119,02-2024-7111,2021-02-08
아파트,이튼타워리버3차,서울특별시 광진구 능동로 18(자양3동 855),3,260,25,02-461-3270,02-461-3205,2021-02-08
아파트,래미안구의파크스위트,서울특별시 광진구 광나루로 545(구의2동 668),12,854,23,02-3494-9484,02-3394-9486,2021-02-08
아파트,테라팰리스건대1차,서울특별시 광진구 아차산로25길 60(화양동 531),1,54,7,02-462-9917,02-462-9918,2021-02-08
아파트,테라팰리스건대2차,서울특별시 광진구 아차산로25길 60(화양동 531),2,78,14,02-446-9063,02-447-9063,2021-02-08
